Afghanistan	"Pashtun 42%,"
Hungary	"Hungarian 92.3%, Roma 1.9%, other or unknown 5.8% (2001)"
India	"Indo-Aryan 72%, Dravidian 25%, Mongoloid and other 3% (2000)"
Indonesia	"Javanese 45%, Sundanese 14%, Madurese 7.5%, coastal Malays 7.5%, other 26%"
Ireland	"Celtic, English"
Italy	"Italian (includes small clusters of German-, French-, and Slovene-Italians in the north and Albanian- and Greek-Italians in the south)"
Jamaica	"black 90.9%, East Indian 1.3%, white 0.2%, Chinese 0.2%, mixed 7.3%, other 0.1%"
Japan	"Japanese 99%; Korean, Chinese, Brazillian, Filipino, other 1% (2004)"
Jordan	"Arab 98%, Circassian 1%, Armenian 1%"
Kazakhstan	"Kazak (Qazaq) 53.4%, Russian 30%, Ukrainian 3.7%, Uzbek 2.5%, German 2.4%, Tatar 1.4%, Uygur 1.4%, other 4.9% (1999)"
Kenya	"Kikuyu 22%; Luhya 14%; Luo 13%; Kalenjin 12%; Kamba 11%; Kisii 6%; Meru 6%; other African 15%; Asian, European, and Arab 1%"
"Korea, North"	"racially homogeneous; small Chinese community, a few ethnic Japanese"
"Korea, South"	"homogeneous (except for about 20,000 Chinese)"
Kuwait	"Kuwaiti 45%, other Arab 35%, South Asian 9%, Iranian 4%, other 7%"
Laos	"Lao Loum (lowland) 68%, Lao Theung (upland) 22%, Lao Soung (highland) including the Hmong (¡°Meo¡±) and the Yao (Mien) 9%, ethnic Vietnamese/Chinese 1%"
Latvia	"Latvian 57.7%, Russian 29.6%, Belorussian 4.1%, Ukrainian 2.7%, Polish 2.5%, Lithuanian 1.4%, other 2% (2002)"
Lebanon	"Arab 95%, Armenian 4%, other 1%"
Lesotho	"Sotho 99.7%, Europeans, Asians, and other 0.3%"
Liberia	"indigenous African tribes 95% (including Kpelle, Bassa, Gio, Kru, Grebo, Mano, Krahn, Gola, Gbandi, Loma, Kissi, Vai, Bella, Mandingo, and Mende), Americo-Liberians 2.5% (descendants of former U.S. slaves), Congo People 2.5% (descendants of former Caribbean slaves)"
Lithuania	"Lithuanian 83.4%, Polish 6.7%, Russian 6.3%, other or unspecified 3.6% (2001)"
Luxembourg	"Celtic base (with French and German blend), Portuguese, Italian, Slavs (from Montenegro, Albania, and Kosovo), and European (guest and worker residents)"
Macedonia	"Macedonian 64.2%, Albanian 25.2%, Turkish 3.8%, Roma (Gypsy) 2.7%, Serb 1.8%, other 2.2% (2002)"
Madagascar	"Malayo-Indonesian (Merina and related Betsileo), Cotiers (mixed African, Malayo-Indonesian, and Arab ancestry: Betsimisaraka, Tsimihety, Antaisaka, Sakalava), French, Indian, Creole, Comoran"
Malawi	"Chewa, Nyanja, Tumbuko, Yao, Lomwe, Sena, Tonga, Ngoni, Ngonde, Asian, European"
Malaysia	"Malay 50.4%, Chinese 23.7%, Indigenous 11%, Indian 7.1%, others 7.8% (2004 est.)"
Mali	"Mande 50% (Bambara, Malinke, Sarakole), Peul 17%, Voltaic 12%, Tuareg and Moor 10%, Songhai 6%, other 5%"
Malta	"Maltese (descendants of ancient Carthaginians and Phoenicians, with strong elements of Italian and other Mediterranean stock)"
Mauritania	"mixed Maur/black 40%, Maur 30%, black 30%"
Mexico	"mestizo (Amerindian-Spanish) 60%, Amerindian or predominantly Amerindian 30%, white 9%, other 1%"
Monaco	"French 47%, Monegasque 16%, Italian 16%, other 21%"
Mongolia	"Mongol (predominantly Khalkha) 94.9%, Turkic (of which Kazak is the largest group) 5%, other (including Chinese and Russian) 0.1% (2000)"
Montenegro	"Montenegrin 43%, Serbian 32%, Bosniak 8%, Albanian 5%, other (Muslims, Croats, Roma) 12%"
Morocco	"Arab-Berber 99.1%, Jewish 0.2%, other 0.7%"
Myanmar	"Burman 68%, Shan 9%, Karen 7%, Rakhine 4%, Chinese 3%, Mon 2%, Indian 2%, other 5%"
Namibia	"black 87.5%, white 6%, mixed 6.5%. Note: about 50% of the population belong to the Ovambo tribe and 9% to the Kavangos tribe; other ethnic groups are Herero 7%, Damara 7%, Nama 5%, Caprivian 4%, Bushmen 3%, Baster 2%, Tswana 0.5%"
Nepal	"Brahman-Hill 12.5%, Chetri 15.5%, Magar 7%, Tharu 6.6%, Tamang 5.5%, Newar 5.4%, Muslim 4.2%, Kami 3.9%, Yadav 3.9%, other 32.7%, unspecified 2.8% (2001)"
Netherlands	"Dutch 83%, other 17% (9% of non-Western origin, mainly Turks, Moroccans, Antilleans, Surinamese, and Indonesians) (1999 est.)"
New Zealand	"European 69.8%, Maori 7.9%, Pacific Islander 4.4%, Asian 5.7%, other 0.5%, mixed 7.8%, unspecified 3.8% (2001)"
Nicaragua	"mestizo 69%, white 17%, black 9%, Amerindian 5%"
Niger	"Hausa 56%, Djerma 22%, Fula 8.5%, Tuareg 8%, Beri Beri (Kanouri) 4.3%, Arab, Toubou, and Gourmantche 1.2%, about 1,200 French expatriates"
Nigeria	"More than 250 ethnic groups, including Hausa and Fulani 29%, Yoruba 21%, Ibo 18%, Ijaw 10%, Kanuri 4%, Ibibio 3.5%, Tiv 2.5%"
Norway	"Norwegian, Sami 20,000"
Oman	"Arab, Baluchi, South Asian (Indian, Pakistani, Sri Lankan, Bangladeshi), African"
Pakistan	"Punjabi, Sindhi, Pashtun (Pathan), Baloch, Muhajir (immigrants from India and their descendants)"
Panama	"mestizo 70%, Amerindian and mixed (West Indian) 14%, white 10%, Indian 6%"
Paraguay	mestizo 95%
Peru	"Amerindian 45%, mestizo 37%, white 15%, black, Japanese, Chinese, and other 3%"
Philippines	"Tagalog 28.1%, Cebuano 13.1%, Ilocano 9%, Bisaya/Binisaya 7.6%, Hiligaynon Ilonggo 7.5%, Bikol 6%, Waray 3.4%, other 25.3% (2000)"
Poland	"Polish 96.7%, German 0.4%, Belorussian 0.1% Ukrainian 0.1%, other 2.7% (2002)"
Portugal	"homogeneous Mediterranean stock; less than 100,000 citizens of black African descent who immigrated to mainland during decolonization; East Europeans have entered since 1990"
Qatar	"Arab 40%, Pakistani 18%, Indian 18%, Iranian 10%, other 14%"
Romania	"Romanian 89.5%, Hungarian 6.6%, Roma (Gyspy) 2.5%, Ukrainian 0.3%, German 0.3%, Russian 0.2%, Turkish 0.2%, other 0.4% (2002)"
Russia	"Russian 79.8%, Tatar 3.8%, Ukrainian 2%, Bashkir 1.2%, Chuvash 1.1%, other or unspecified 12.1% (2002)"
Rwanda	"Hutu 84%, Tutsi 15%, Twa (Pygmoid) 1%"
Saudi Arabia	"Arab 90%, Afro-Asian 10%"
Senegal	"Wolof 43.3%, Fulani 23.8%, Serer 14.7%, Diola 3.7%, Mandingo 3%, Soninke 1.1%, European and Lebanese 1%, other 9.4%"
Serbia	"Serb 66%, Albanian 17%, Hungarian 3.5%, other 13.5% (1991)"
Sierra Leone	"20 native African tribes 90% (Temne 30%, Mende 30%, other 30%); Creole (Krio) 10%; refugees from Liberia's recent civil war, small numbers of Europeans, Lebanese, Pakistanis, and Indians"
Singapore	"Chinese 76.8%, Malay 13.9%, Indian 7.9%, other 1.4% (2000)"
Slovenia	"Slovene 93.1%, Croat 1.8%, Serb 2%, Bosniak 1.1%, other or unspecified 12% (2001)"
Somalia	"Somali 85%, Bantu and others 15% (including Arabs 30,000)"
South Africa	"black African 79%, white 9.6%, colored 8.9%, Indian/Asian 2.5% (2001)"
Spain	composite of Mediterranean and Nordic types
Sri Lanka	"Sinhalese 73.8%, Sri Lankan Moors 7.2%, Indian Tamil 4.6%, Sri Lankan Tamil 3.9%, other 0.5%, unspecified 10% (2001)"
Sudan	"black 52%, Arab 39%, Beja 6%, foreigners 2%, other 1%"
Suriname	"East Indians (Hindustanis) 37%, Creole (mixed white and black) 31%, Javanese 15%, ¡°Bush Negroes¡± (also known as Maroons) 10%, Amerindian 2%, Chinese 2%, white 1%, other 2%"
Swaziland	"African 97%, European 3%"
Sweden	white
Switzerland	German 65%
Syria	Arab 90.3%
Taiwan	Taiwanese (including Hakka) 84%
Tajikistan	Tajik 79%
Tanzania	native African 99%
Thailand	Thai 75%
Togo	"native African (37 tribes; largest and most important are Ewe, Mina, and Kabre) 99%"
Tonga	"Polynesian, European"
Trinidad and Tobago	"Indian (South Asian) 40%, African 37.5%"
Tunisia	Arab-Berber 98%
Turkey	Turkish 80%
Uganda	"Baganda 17%, Ankole 8%, Basoga 8%, Iteso 8%"
Ukraine	Ukrainian 77.8%
United Arab Emirates	Asian
United Kingdom	white
United States	white
Uruguay	white
Uzbekistan	Uzbek 80%
Vanuatu	Ni-Vanuatu 98.5%
Vatican City (Holy See)	white
Venezuela	white
Vietnam	Kinh (Viet) 86.2%
Western Sahara (proposed state)	Arab
Yemen	Arab
Zambia	African
Zimbabwe	African 98% 
